序号,打包二维码,工件名称,数量,长,宽,成品面积,厚,材料,开料长,开料宽,切割面积,开料厚,板件条码,板号,前封边,后封边,左封边,右封边,纹路,订单号,客户名称,项目地址,部件名称
1,PRUEBA 1_00-Doble c/spar01_双开右,PRUEBA 1_00-Doble c/spar01_双开右,1,681.83,297,0.2,18,18_多层实木_04拉丝胡桃,679.83,295,0.2,18,9441838670101_9441838670101,1509,1,1,1,1,竖纹,260625-20,,PRUEBA,PRUEBA 1_00-Doble c/spar01_Cabinet door01_Double open right01
2,PRUEBA 1_00-Doble c/spar01_双开左,PRUEBA 1_00-Doble c/spar01_双开左,1,681.83,297,0.2,18,18_多层实木_04拉丝胡桃,679.83,295,0.2,18,9441838670088_9441838670088,1507,1,1,1,1,竖纹,260625-20,,PRUEBA,PRUEBA 1_00-Doble c/spar01_Cabinet door01_Double left01
3,PRUEBA 1_00-Doble c/spar01_Partition02,PRUEBA 1_00-Doble c/spar01_Partition02,1,564,370,0.21,18,18_多层实木_13玛雅灰,564,369,0.21,18,9441838670125_9441838670125,1631,0,0,0,1,竖纹,260625-20,,PRUEBA,PRUEBA 1_00-Doble c/spar01_Partition02
4,PRUEBA 1_00-Doble c/spar01_Roof plate01,PRUEBA 1_00-Doble c/spar01_Roof plate01,1,600,400,0.24,18,18_多层实木_13玛雅灰,598,399,0.24,18,9441838670057_9441838670057_9441838670057K,1636,1,1,1,0,竖纹,260625-20,,PRUEBA,PRUEBA 1_00-Doble c/spar01_Roof plate01
5,PRUEBA 1_00-Doble c/spar01_Partition01,PRUEBA 1_00-Doble c/spar01_Partition01,1,564,400,0.23,18,18_多层实木_13玛雅灰,564,399,0.23,18,9441838670132_9441838670132_9441838670132K,1632,0,0,0,1,竖纹,260625-20,,PRUEBA,PRUEBA 1_00-Doble c/spar01_Partition01
6,PRUEBA 1_00-Doble c/spar01_Left board01,PRUEBA 1_00-Doble c/spar01_Left board01,1,741.83,400,0.3,18,18_多层实木_13玛雅灰,741.83,399,0.3,18,9441838670064_9441838670064,1637,0,0,1,0,竖纹,260625-20,,PRUEBA,PRUEBA 1_00-Doble c/spar01_Left board01
7,PRUEBA 1_00-Doble c/spar01_Vertical Partition01,PRUEBA 1_00-Doble c/spar01_Vertical Partition01,1,100,564,0.06,18,18_多层实木_13玛雅灰,99,564,0.06,18,9441838670163_9441838670163,1635,0,1,0,0,竖纹,260625-20,,PRUEBA,PRUEBA 1_00-Doble c/spar01_Fascia board01_Vertical Partition01
8,PRUEBA 1_00-Doble c/spar01_Right board01,PRUEBA 1_00-Doble c/spar01_Right board01,1,741.83,400,0.3,18,18_多层实木_13玛雅灰,741.83,399,0.3,18,9441838670071_9441838670071,1638,0,0,1,0,竖纹,260625-20,,PRUEBA,PRUEBA 1_00-Doble c/spar01_Right board01
9,PRUEBA 1_00-Doble c/spar01_Vertical Partition01,PRUEBA 1_00-Doble c/spar01_Vertical Partition01,1,100,564,0.06,18,18_多层实木_13玛雅灰,99,564,0.06,18,9441838670156_9441838670156,1634,1,0,0,0,竖纹,260625-20,,PRUEBA,PRUEBA 1_00-Doble c/spar01_Fascia board02_Vertical Partition01
10,PRUEBA 1_00-Doble c/spar01_Back panel01,PRUEBA 1_00-Doble c/spar01_Back panel01,1,633.83,574,0.36,5,5_装饰板_d02白麻面,633.83,574,0.36,5,9441838670149,1633,0,0,0,0,竖纹,260625-20,,PRUEBA,PRUEBA 1_00-Doble c/spar01_Back panel01
